Country,FIFA rank,Population,Diaspora per resident,Highlight
France,1,68551653,0.037,Other
Spain,2,48848840,0.033,Other
Argentina,3,45696159,0.026,Other
Portugal,5,10694681,0.168,Other
Brazil,6,211998573,0.01,Other
Netherlands,7,17993485,0.035,Other
Morocco,8,38081173,0.095,Other
Belgium,9,11858610,0.044,Other
Germany,10,83516593,0.051,Other
Croatia,11,3866200,0.214,Other
Italy,12,58952704,0.05,Other
Colombia,13,52886363,0.069,Other
Senegal,14,18501984,0.04,Other
Mexico,15,130861007,0.089,Other
USA,16,340110988,0.009,Other
Uruguay,17,3386588,0.078,Other
Japan,18,123975371,0.008,Other
Switzerland,19,9005582,0.057,Other
Denmark,20,5976992,0.021,Other
IR Iran,21,91567738,0.019,Other
Türkiye,22,85518661,0.037,Other
Ecuador,23,18135478,0.069,Other
Austria,24,9177982,0.047,Other
Korea Republic,25,51751065,0.039,Other
Nigeria,26,232679478,0.009,Other
Australia,27,27196812,0.016,Other
Algeria,28,46814308,0.038,Other
Egypt,29,116538258,0.041,Other
Canada,30,41288599,0.033,Other
Norway,31,5572279,0.022,Other
Ukraine,32,37860221,0.258,Other
Panama,33,4515577,0.043,Other
Côte d'Ivoire,34,31934230,0.038,Other
Poland,35,36559233,0.125,Other
Russia,36,143533851,0.064,Other
Sweden,38,10569709,0.021,Other
Serbia,39,6586476,0.146,Other
Paraguay,40,6929153,0.108,Other
Czechia,41,10905028,0.053,Other
Hungary,42,9562065,0.056,Other
Tunisia,44,12277109,0.058,Other
Cameroon,45,29123744,0.014,Other
Congo DR,46,109276265,0.019,Other
Greece,47,10405134,0.075,Other
Slovakia,48,5422069,0.072,Other
Venezuela,49,28405543,0.293,Other
Uzbekistan,50,36361859,0.058,Other
Costa Rica,51,5129910,0.01,Other
Mali,52,24478595,0.053,Other
Peru,53,34217848,0.049,Other
Chile,54,19764771,0.022,Other
Qatar,55,2857822,0.007,Other
Romania,56,19051804,0.241,Other
Iraq,57,46042015,0.05,Other
Slovenia,58,2127400,0.037,Other
Republic of Ireland,59,5395790,0.132,Other
South Africa,60,64007187,0.016,Other
Saudi Arabia,61,35300280,0.007,Other
Burkina Faso,62,23548781,0.087,Other
Jordan,63,11552876,0.057,Other
Albania,64,2377128,0.512,Other
Bosnia and Herzegovina,65,3164253,0.508,Other
Honduras,66,10825703,0.129,Other
North Macedonia,67,1824359,0.293,Other
United Arab Emirates,68,10986400,0.015,Other
Cabo Verde,69,524877,0.279,Other
Jamaica,71,2839175,0.44,Other
Georgia,72,3699557,0.134,Other
Finland,73,5619911,0.032,Other
Ghana,74,34427414,0.031,Other
Iceland,75,386506,0.06,Other
Bolivia,76,12413315,0.063,Other
Israel,77,9974400,0.033,Other
Kosovo,78,1594353,NA,Other
Oman,79,5281538,0.003,Other
Guinea,80,14754785,0.034,Other
Montenegro,81,623525,0.145,Other
Curaçao,82,155967,0.065,Curaçao
Haiti,83,11772557,0.171,Other
Syria,84,24672760,0.362,Other
New Zealand,85,5287500,0.129,Other
Bulgaria,86,6441421,0.194,Other
Gabon,87,2538952,0.024,Other
Uganda,88,50015092,0.012,Other
Angola,89,37885849,0.016,Other
Benin,90,14462724,0.05,Other
Bahrain,91,1588670,0.036,Other
Zambia,92,21314956,0.006,Other
Thailand,93,71668011,0.016,Other
China PR,94,1408975000,0.008,Other
Palestine,95,5289152,0.8,Other
Guatemala,96,18406359,0.079,Other
Belarus,97,9132629,0.087,Other
Luxembourg,98,677012,0.091,Other
Vietnam,99,100987686,0.037,Other
El Salvador,100,6338193,0.289,Other
Mozambique,101,34631766,0.02,Other
Trinidad and Tobago,102,1368333,0.237,Other
Tajikistan,103,10590927,0.049,Other
Madagascar,104,31964956,0.007,Other
Equatorial Guinea,105,1892516,0.072,Other
Armenia,106,3033500,0.21,Other
Kyrgyz Republic,107,7221868,0.075,Other
Lebanon,108,5805962,0.117,Other
Comoros,109,866628,0.424,Other
Kazakhstan,110,20592571,0.136,Other
Kenya,111,56432944,0.01,Other
Libya,112,7381023,0.021,Other
Tanzania,113,68560157,0.003,Other
Niger,114,27032412,0.016,Other
Mauritania,115,5169395,0.018,Other
The Gambia,116,2759988,0.026,Other
Sudan,117,50448963,0.075,Other
Korea DPR,118,26498823,0.002,Other
Sierra Leone,119,8642022,0.007,Other
Namibia,120,3030131,0.013,Other
Togo,121,9515236,0.061,Other
Indonesia,122,283487931,0.013,Other
Faroe Islands,123,54681,0.225,Other
Azerbaijan,124,10202830,0.079,Other
Suriname,125,634431,0.407,Other
Cyprus,126,1358282,0.059,Other
Malawi,127,21655286,0.02,Other
Rwanda,128,14256567,0.038,Other
Estonia,129,1372341,0.091,Other
Zimbabwe,130,16634373,0.091,Other
Nicaragua,131,6916140,0.131,Other
Guinea-Bissau,132,2201352,0.047,Other
Congo,133,6332961,0.036,Other
Kuwait,134,4897263,0.034,Other
Philippines,135,115843670,0.06,Other
India,136,1450935791,0.013,Other
Latvia,137,1866124,0.086,Other
Malaysia,138,35557673,0.068,Other
Central African Republic,139,5330690,0.17,Other
Liberia,140,5612817,0.026,Other
Turkmenistan,141,7494498,0.049,Other
Burundi,142,14047786,0.041,Other
Dominican Republic,143,11427557,0.168,Other
Ethiopia,144,132059767,0.009,Other
Lesotho,145,2337423,0.106,Other
Botswana,146,2521139,0.007,Other
Singapore,147,6036860,0.045,Other
Lithuania,148,2888278,0.159,Other
Yemen,149,40583164,0.061,Other
Guyana,150,831087,0.565,Other
New Caledonia,151,292639,0.017,Other
St Kitts and Nevis,152,46843,0.296,Other
Solomon Islands,153,819198,0.01,Other
Fiji,154,928784,0.195,Other
"Hong Kong, China",155,7524100,0.165,Other
Puerto Rico,156,3203295,0.608,Other
Tahiti,157,281807,0.007,Other
Myanmar,158,54500091,0.079,Other
Moldova,159,2402306,0.36,Other
Vanuatu,160,327777,0.046,Other
Malta,161,568847,0.077,Other
Antigua and Barbuda,162,93772,0.14,Other
Grenada,163,117207,0.224,Other
Cuba,164,10979783,0.171,Other
Eswatini,165,1242822,0.009,Other
Bermuda,166,64636,0.017,Other
St Lucia,167,179744,0.121,Other
Papua New Guinea,168,10576502,0.003,Other
Afghanistan,169,42647492,0.177,Other
South Sudan,170,11943408,0.265,Other
St Vincent and the Grenadines,171,100616,0.35,Other
Maldives,172,527799,0.005,Other
Andorra,173,81938,0.024,Other
Nepal,176,29651054,0.089,Other
Cambodia,177,17638801,0.044,Other
Mauritius,178,1245779,0.092,Other
Barbados,179,282467,0.069,Other
Belize,180,417072,0.018,Other
Bangladesh,181,173562364,0.05,Other
Dominica,182,66205,0.323,Other
Chad,183,20299123,0.014,Other
Eritrea,184,3535603,0.258,Other
Laos,185,7769819,0.085,Other
Bhutan,186,791524,0.084,Other
Mongolia,187,3524788,0.05,Other
Aruba,189,107995,0.271,Other
Samoa,190,218019,0.547,Other
Sri Lanka,191,21916000,0.068,Other
American Samoa,192,46765,0.072,Other
Brunei Darussalam,193,462721,0.101,Other
Macau,194,687000,0.217,Other
Cayman Islands,195,74457,0.008,Other
São Tomé and Príncipe,196,235536,0.176,Other
Djibouti,197,1168722,0.003,Other
Somalia,198,19009151,0.102,Other
Tonga,199,104175,0.511,Other
Timor-Leste,200,1400638,0.078,Other
Guam,201,167777,0.007,Other
Pakistan,202,251269164,0.028,Other
Gibraltar,203,39329,0.012,Other
Seychelles,204,121354,0.183,Other
Turks and Caicos Islands,205,46535,0.057,Other
Liechtenstein,206,40450,0.009,Other
Bahamas,207,401283,0.005,Other
British Virgin Islands,208,39471,0.157,Other
US Virgin Islands,209,104377,0.039,Other
San Marino,211,33977,0.059,Other
